Node1,Node2,Energy_forward (kcal/mol),Energy_backward (kcal/mol),Piston,MTD,Gravity,SMH,SMH-g
0, 1,   0.000000,  59.300000, 1, 1, 1, 1, 1
0, 7,  19.800000,  85.600000, 0, 0, 0, 0, 1
0, 63, 147.400000, 126.100000, 0, 0, 0, 0, 1
0, 70,  61.100000,   5.900000, 0, 0, 0, 0, 1
0, 153,  27.800000,  18.500000, 0, 0, 1, 0, 0
1, 2, 100.100000,  17.000000, 0, 0, 0, 0, 1
1, 3,  43.500000,   5.500000, 0, 0, 0, 1, 1
1, 4,  43.200000,  49.000000, 0, 1, 1, 0, 1
1, 5,  45.500000,  44.600000, 0, 1, 1, 1, 1
1, 6,  43.500000,   0.000000, 0, 1, 0, 1, 1
1, 7,  44.400000,  41.700000, 0, 0, 0, 0, 1
1, 8,  44.600000,   0.000000, 0, 1, 0, 0, 1
1, 9,  29.700000,   0.200000, 0, 0, 1, 0, 1
1, 129, 109.400000,  17.300000, 0, 1, 0, 0, 0
1, 156, 260.700000,  45.100000, 0, 0, 0, 1, 0
1, 158, 120.500000,   0.000000, 0, 0, 0, 1, 0
2, 10,   2.100000,  55.900000, 0, 0, 0, 0, 1
3, 11,  32.100000,  57.900000, 0, 0, 0, 0, 1
3, 13,  26.300000, 119.500000, 0, 0, 0, 1, 1
3, 14,  62.000000,  28.300000, 0, 0, 0, 0, 1
3, 158,  85.700000,   0.000000, 0, 0, 0, 1, 0
3, 159,  70.600000,  73.200000, 0, 0, 0, 1, 0
3, 160, 116.900000,  89.700000, 0, 0, 0, 1, 0
4, 7,  37.600000,  29.400000, 0, 0, 0, 0, 1
4, 15,  41.000000,  15.600000, 0, 0, 0, 0, 1
4, 16,  80.000000,  14.200000, 0, 0, 0, 0, 1
4, 17,  82.800000,  50.500000, 0, 0, 0, 0, 1
4, 18,  52.900000,  63.400000, 0, 0, 0, 0, 1
4, 19,  15.900000,  46.600000, 0, 1, 0, 0, 1
4, 20,  57.200000,  75.700000, 0, 0, 0, 0, 1
4, 21,  12.800000,  20.900000, 0, 1, 0, 0, 1
4, 22,  74.500000,  15.500000, 0, 0, 0, 0, 1
4, 59,  64.600000,  15.800000, 0, 1, 0, 0, 0
4, 130,  54.700000,  11.200000, 0, 1, 0, 0, 0
5, 4,   3.700000,   9.200000, 0, 1, 1, 0, 1
5, 7,  30.400000,  28.500000, 0, 0, 0, 0, 1
5, 13,  18.100000,  74.300000, 0, 0, 0, 1, 1
5, 15,  35.400000,  12.400000, 0, 0, 0, 0, 1
5, 19,   6.600000,  47.700000, 0, 1, 1, 1, 1
5, 20,   5.300000,  34.300000, 0, 1, 0, 0, 0
5, 23,  30.100000,   4.100000, 0, 0, 0, 0, 1
5, 24, 115.200000,  40.900000, 0, 0, 0, 0, 1
5, 25, 117.200000,   0.000000, 0, 0, 0, 0, 1
5, 26,  41.300000,  41.400000, 0, 0, 1, 0, 1
5, 27,  20.600000,  22.200000, 0, 0, 1, 0, 1
5, 53,  11.500000,  22.600000, 0, 1, 0, 1, 0
5, 154,  14.200000,  15.900000, 0, 0, 1, 0, 0
5, 162,  37.500000,  38.700000, 0, 0, 0, 1, 0
5, 163,  48.700000,  32.500000, 0, 0, 0, 1, 0
6, 28,  83.300000,  20.400000, 0, 1, 0, 1, 1
6, 29,  87.200000,  42.800000, 0, 0, 0, 1, 1
6, 30, 120.000000,  21.100000, 0, 0, 0, 0, 1
6, 92, 120.800000,   5.400000, 0, 0, 0, 1, 0
6, 134,  57.200000,   6.100000, 0, 1, 0, 0, 0
6, 135,  93.100000,  21.500000, 0, 1, 0, 0, 0
6, 161,  81.700000,  39.200000, 0, 0, 0, 1, 0
7, 16,  67.600000,  10.200000, 0, 0, 0, 0, 1
7, 18,  45.600000,  63.800000, 0, 0, 0, 0, 1
7, 26,   4.400000,  10.800000, 0, 0, 1, 0, 1
7, 32,   5.600000,  34.800000, 0, 0, 0, 0, 1
7, 33,  37.900000,   5.300000, 0, 0, 0, 0, 1
7, 35,  29.100000,   6.600000, 0, 0, 0, 0, 1
8, 5,   0.000000,  43.800000, 0, 1, 1, 0, 1
9, 19,  10.200000,  76.400000, 0, 0, 0, 0, 1
9, 35,  46.500000,  51.000000, 0, 0, 0, 0, 1
9, 36,  32.700000,  40.100000, 0, 0, 0, 0, 1
10, 37,  11.100000,  13.500000, 0, 0, 0, 0, 1
12, 38,   0.000000,  61.400000, 0, 0, 0, 0, 1
13, 39,  72.900000,  30.800000, 0, 0, 0, 0, 1
13, 40,  97.600000,  24.700000, 0, 0, 0, 0, 1
13, 41, 124.600000, 110.600000, 0, 0, 0, 0, 1
13, 164, 162.200000,  32.000000, 0, 0, 0, 1, 0
15, 26,   9.300000,  26.000000, 0, 0, 0, 0, 1
15, 42,  65.900000,  66.200000, 0, 0, 0, 0, 1
15, 43,  68.200000,  69.200000, 0, 0, 0, 0, 1
16, 34,   3.600000,   9.600000, 0, 0, 0, 0, 1
17, 44,  93.400000,   3.100000, 0, 0, 0, 0, 1
17, 45,  51.800000,  73.300000, 0, 0, 0, 0, 1
18, 20,  17.900000,  25.900000, 0, 0, 0, 0, 1
18, 47,  62.600000,  56.400000, 0, 0, 0, 0, 1
18, 48,  80.500000,  64.800000, 0, 0, 0, 0, 1
19, 20,  40.100000,  28.000000, 0, 0, 0, 0, 1
19, 50, 121.300000, 130.100000, 0, 0, 0, 0, 1
19, 51,  76.300000,  21.100000, 0, 0, 0, 0, 1
19, 54, 134.900000, 142.300000, 0, 0, 0, 0, 1
19, 55,  81.100000,  45.000000, 0, 0, 0, 1, 1
19, 57,  57.000000,  11.000000, 0, 0, 0, 0, 1
19, 170,  86.700000,   5.100000, 0, 0, 0, 1, 0
20, 53,  21.900000,  14.400000, 0, 1, 0, 0, 0
20, 58,  38.500000,  38.100000, 0, 0, 0, 0, 1
20, 59,  93.000000,  26.900000, 0, 0, 0, 0, 1
21, 60,  37.200000,  25.800000, 0, 0, 0, 0, 1
21, 136,  52.400000,  31.100000, 0, 1, 0, 0, 0
21, 137,  57.200000,  42.700000, 0, 1, 0, 0, 0
24, 61,  54.400000,   8.700000, 0, 0, 0, 0, 1
25, 62,  14.200000,  54.600000, 0, 0, 0, 0, 1
26, 9,  54.000000,  22.900000, 0, 0, 0, 0, 1
26, 35,  38.800000,   9.800000, 0, 0, 1, 0, 0
26, 52,  38.400000,  31.300000, 0, 0, 0, 0, 1
26, 63, 107.200000,  31.900000, 0, 0, 0, 0, 1
26, 64,  36.100000,   5.600000, 0, 0, 0, 0, 1
26, 66, 114.300000,  55.800000, 0, 0, 0, 0, 1
26, 181,  25.900000,   4.000000, 0, 0, 0, 0, 1
27, 67,  17.400000,  17.600000, 0, 0, 0, 0, 1
27, 155,  16.000000,   3.300000, 0, 0, 1, 0, 0
28, 68,  77.900000,  39.600000, 0, 0, 0, 0, 1
28, 141,  39.800000,  15.400000, 0, 1, 0, 0, 0
28, 142,  18.400000,   8.000000, 0, 1, 0, 0, 0
28, 143,  78.400000,  71.500000, 0, 1, 0, 0, 0
28, 144,  32.600000,   5.400000, 0, 1, 0, 0, 0
29, 167,  47.800000,  43.400000, 0, 0, 0, 1, 0
30, 69,  29.000000,   9.600000, 0, 0, 0, 0, 1
30, 160,  95.300000,   0.000000, 0, 0, 0, 1, 0
31, 6,   7.800000,  81.900000, 0, 1, 0, 1, 0
31, 92,  48.700000,   2.700000, 0, 0, 0, 1, 0
32, 71,  63.000000,  19.500000, 0, 0, 0, 0, 1
32, 72,  80.200000,  47.900000, 0, 0, 0, 0, 1
32, 73, 114.900000,  83.700000, 0, 0, 0, 0, 1
32, 74, 116.900000,   0.600000, 0, 0, 0, 0, 1
32, 75,  47.600000,  29.700000, 0, 0, 0, 0, 1
32, 76,  47.500000,  29.700000, 0, 0, 0, 0, 1
33, 49,   4.200000,  64.300000, 0, 0, 0, 0, 1
34, 7,   4.100000,  55.300000, 0, 0, 0, 0, 1
35, 52,   3.600000,  27.900000, 0, 0, 0, 0, 1
35, 77,   2.000000,  37.100000, 0, 0, 0, 0, 1
37, 79,   5.800000,  27.600000, 0, 0, 0, 0, 1
38, 80,  98.300000,  54.600000, 0, 0, 0, 0, 1
38, 82,  59.300000,  31.500000, 0, 0, 0, 0, 1
40, 83,  61.400000,  64.500000, 0, 0, 0, 0, 1
40, 84,  91.400000,   0.500000, 0, 0, 0, 0, 1
41, 85, 137.700000,  37.800000, 0, 0, 0, 0, 1
41, 86,   2.400000,   0.700000, 0, 0, 0, 0, 1
42, 87,  88.600000,   2.700000, 0, 0, 0, 0, 1
43, 65,  24.000000,  78.300000, 0, 0, 0, 0, 1
45, 88,  75.500000,  16.100000, 0, 0, 0, 0, 1
46, 17,   0.000000,  85.500000, 0, 0, 0, 0, 1
49, 19,  32.800000,  43.200000, 0, 0, 0, 0, 1
49, 47,  89.900000,  74.400000, 0, 0, 0, 0, 1
50, 91,  89.000000,   6.400000, 0, 0, 0, 0, 1
51, 94,  21.400000,   4.300000, 0, 0, 0, 0, 1
52, 19,  49.900000,  88.500000, 0, 0, 0, 0, 1
52, 77,  16.700000,  27.300000, 0, 0, 0, 0, 1
52, 95,  16.200000,  34.500000, 0, 0, 0, 0, 1
52, 98, 184.100000, 140.600000, 0, 0, 0, 0, 1
53, 19,  11.600000,  36.400000, 0, 1, 0, 0, 1
53, 36,  40.300000,  20.300000, 0, 0, 0, 1, 0
53, 133,  36.100000,   7.500000, 0, 0, 0, 1, 0
53, 139,  34.800000,   2.300000, 0, 1, 0, 0, 0
53, 168,  44.800000,   3.300000, 0, 0, 0, 1, 0
53, 169,  51.800000,   6.800000, 0, 0, 0, 1, 0
54, 100,  90.500000,  45.900000, 0, 0, 0, 0, 1
55, 101,  73.500000,  16.500000, 0, 0, 0, 0, 1
56, 19,   1.500000, 119.200000, 0, 0, 0, 0, 1
58, 102,  43.000000,  37.700000, 0, 0, 0, 0, 1
59, 5,  15.700000,  60.900000, 0, 1, 0, 0, 0
59, 103,  55.800000,  15.400000, 0, 0, 0, 0, 1
59, 138,  31.500000,  38.100000, 0, 1, 0, 0, 0
60, 76,   2.800000,  15.800000, 0, 0, 0, 0, 1
60, 105,  85.400000,   3.800000, 0, 0, 0, 0, 1
63, 106,   0.000000,  28.900000, 0, 0, 0, 0, 1
64, 32,  14.300000,  64.500000, 0, 0, 0, 0, 1
65, 26,  46.400000,  20.200000, 0, 0, 0, 0, 1
65, 107,  56.700000,   7.300000, 0, 0, 0, 0, 1
65, 108,  77.400000,   0.000000, 0, 0, 0, 0, 1
68, 109,   2.500000,  30.900000, 0, 0, 0, 0, 1
70, 110,  11.900000,  20.900000, 0, 0, 0, 0, 1
72, 111,  35.600000,  14.300000, 0, 0, 0, 0, 1
75, 112,  55.300000,  40.700000, 0, 0, 0, 0, 1
77, 112,  31.400000,  14.900000, 0, 0, 0, 0, 1
77, 113, 109.100000,  25.500000, 0, 0, 0, 0, 1
78, 36,   2.000000,  62.100000, 0, 0, 0, 0, 1
79, 49,   8.200000,  30.600000, 0, 0, 0, 0, 1
81, 38,   7.800000,  62.200000, 0, 0, 0, 0, 1
82, 41,  76.800000, 105.000000, 0, 0, 0, 0, 1
85, 115,   7.500000,  57.300000, 0, 0, 0, 0, 1
87, 15,   0.000000,  85.800000, 0, 0, 0, 0, 1
89, 47,  16.600000, 106.700000, 0, 0, 0, 0, 1
90, 49,   6.800000,  53.000000, 0, 0, 0, 0, 1
93, 51,  17.700000,   9.000000, 0, 0, 0, 0, 1
93, 104,  62.700000,   0.700000, 0, 0, 0, 0, 1
94, 117,  52.900000,  11.500000, 0, 0, 0, 0, 1
96, 52,  43.900000,  88.800000, 0, 0, 0, 0, 1
97, 52,  39.600000, 132.700000, 0, 0, 0, 0, 1
98, 99,  77.940000, 125.800000, 0, 0, 0, 0, 1
99, 52,  60.700000,  57.900000, 0, 0, 0, 0, 1
101, 119,   9.800000,  25.300000, 0, 0, 0, 0, 1
102, 120,  70.900000,   1.300000, 0, 0, 0, 0, 1
103, 121,   6.800000,  97.800000, 0, 0, 0, 0, 1
104, 60,   1.500000,  76.800000, 0, 0, 0, 0, 1
104, 122,  11.800000,  25.400000, 0, 0, 0, 0, 1
105, 83,   5.000000,  77.900000, 0, 0, 0, 0, 1
106, 123,  66.600000,  73.100000, 0, 0, 0, 0, 1
110, 124, 101.300000,   0.900000, 0, 0, 0, 0, 1
112, 78,  65.200000,  13.100000, 0, 0, 0, 0, 1
114, 84,  70.300000,  29.400000, 0, 0, 0, 0, 1
115, 126,  39.200000,   2.300000, 0, 0, 0, 0, 1
116, 93,   0.000000,  35.600000, 0, 0, 0, 0, 1
118, 96,   0.300000,  55.500000, 0, 0, 0, 0, 1
123, 128,  70.900000,   0.100000, 0, 0, 0, 0, 1
125, 115,   6.400000,  36.600000, 0, 0, 0, 0, 1
127, 116,  55.500000,  29.500000, 0, 0, 0, 0, 1
129, 131,  42.100000,   4.700000, 0, 1, 0, 0, 0
129, 132,  45.400000,   0.000000, 0, 1, 0, 0, 0
129, 133,  43.900000, 132.100000, 0, 1, 0, 0, 0
130, 53,   3.600000,  59.200000, 0, 1, 0, 0, 0
134, 145,   9.100000,  17.500000, 0, 1, 0, 0, 0
134, 146,   3.000000,  12.600000, 0, 1, 0, 0, 0
135, 147,  15.400000,  23.400000, 0, 1, 0, 0, 0
135, 149,  36.000000,   4.800000, 0, 1, 0, 0, 0
136, 18,   0.900000,  23.600000, 0, 1, 0, 0, 0
137, 150,  23.600000,   1.000000, 0, 1, 0, 0, 0
139, 151,  17.400000,   9.000000, 0, 1, 0, 0, 0
140, 53,   0.900000,  31.700000, 0, 1, 0, 0, 0
143, 152,  30.500000,  10.000000, 0, 1, 0, 0, 0
144, 31,   0.700000,  22.100000, 0, 1, 0, 0, 0
145, 146,   5.400000,   7.000000, 0, 1, 0, 0, 0
147, 31,  27.800000,  27.500000, 0, 1, 0, 0, 0
148, 31,   0.000000,  30.700000, 0, 1, 0, 0, 0
149, 147,   0.000000,  37.700000, 0, 1, 0, 0, 0
150, 139,  19.000000,  12.000000, 0, 1, 0, 0, 0
157, 1,   1.100000, 122.400000, 0, 0, 0, 1, 0
161, 166,  33.100000,   5.900000, 0, 0, 0, 1, 0
163, 173,  91.200000,  59.300000, 0, 0, 0, 1, 0
165, 161,   0.400000,  76.700000, 0, 0, 0, 1, 0
169, 174, 104.000000, 123.200000, 0, 0, 0, 1, 0
169, 175,  46.500000,  53.400000, 0, 0, 0, 1, 0
171, 162,   5.700000,  11.000000, 0, 0, 0, 1, 0
172, 162,  39.000000,   9.700000, 0, 0, 0, 1, 0
174, 176,  64.900000,  31.800000, 0, 0, 0, 1, 0
174, 177,  39.900000,   3.200000, 0, 0, 0, 1, 0
175, 178,  43.300000,  41.700000, 0, 0, 0, 1, 0
177, 180,  51.500000,   0.400000, 0, 0, 0, 1, 0
179, 174,   0.800000,  61.600000, 0, 0, 0, 1, 0
